Year,State,Energy Price
1970,AK,1.12
1970,AL,0.9
1970,AR,0.86
1970,AZ,0.77
1970,CA,1.12
1970,CO,0.98
1970,CT,1.21
1970,DC,0.73
1970,DE,0.76
1970,FL,1.1
1970,GA,0.97
1970,HI,0.73
1970,IA,1.06
1970,ID,0.98
1970,IL,1.1
1970,IN,1.04
1970,KS,0.83
1970,KY,1.12
1970,LA,0.8
1970,MA,1.25
1970,MD,1.09
1970,ME,1.12
1970,MI,1.09
1970,MN,1.08
1970,MO,1.03
1970,MS,0.79
1970,MT,0.82
1970,NC,1.13
1970,ND,0.96
1970,NE,0.79
1970,NH,1.23
1970,NJ,1.25
1970,NM,0.86
1970,NV,0.76
1970,NY,1.24
1970,OH,1.11
1970,OK,0.72
1970,OR,1.14
1970,PA,1.09
1970,RI,1.18
1970,SC,1.06
1970,SD,0.97
1970,TN,1.06
1970,TX,0.9
1970,US,1.13
1970,UT,0.76
1970,VA,1.14
1970,VT,1.35
1970,WA,1.17
1970,WI,1.09
1970,WV,0.94
1970,WY,0.76
1971,AK,1.17
1971,AL,0.94
1971,AR,0.93
1971,AZ,0.81
1971,CA,1.13
1971,CO,1.04
1971,CT,1.33
1971,DC,0.77
1971,DE,0.93
1971,FL,1.17
1971,GA,1.05
1971,HI,0.83
1971,IA,1.18
1971,ID,0.84
1971,IL,1.15
1971,IN,1.07
1971,KS,0.94
1971,KY,1.14
1971,LA,0.84
1971,MA,1.38
1971,MD,1.12
1971,ME,1.14
1971,MI,1.13
1971,MN,1.14
1971,MO,1.11
1971,MS,0.9
1971,MT,0.87
1971,NC,1.18
1971,ND,1.05
1971,NE,0.97
1971,NH,1.28
1971,NJ,1.36
1971,NM,0.87
1971,NV,0.82
1971,NY,1.28
1971,OH,1.16
1971,OK,0.75
1971,OR,1.16
1971,PA,1.16
1971,RI,1.28
1971,SC,1.17
1971,SD,1.0
1971,TN,1.13
1971,TX,0.96
1971,US,1.18
1971,UT,0.8
1971,VA,1.18
1971,VT,1.39
1971,WA,1.24
1971,WI,1.13
1971,WV,0.98
1971,WY,0.81
1972,AK,1.17
1972,AL,1.01
1972,AR,0.93
1972,AZ,0.95
1972,CA,1.18
1972,CO,1.03
1972,CT,1.39
1972,DC,0.78
1972,DE,1.0
1972,FL,1.19
1972,GA,1.1
1972,HI,0.83
1972,IA,1.18
1972,ID,0.85
1972,IL,1.17
1972,IN,1.11
1972,KS,0.9
1972,KY,1.18
1972,LA,0.9
1972,MA,1.41
1972,MD,1.18
1972,ME,1.19
1972,MI,1.15
1972,MN,1.09
1972,MO,1.11
1972,MS,0.9
1972,MT,0.88
1972,NC,1.19
1972,ND,1.05
1972,NE,1.01
1972,NH,1.33
1972,NJ,1.37
1972,NM,0.89
1972,NV,0.83
1972,NY,1.36
1972,OH,1.18
1972,OK,0.78
1972,OR,1.18
1972,PA,1.16
1972,RI,1.37
1972,SC,1.18
1972,SD,1.0
1972,TN,1.13
1972,TX,0.98
1972,US,1.18
1972,UT,0.8
1972,VA,1.18
1972,VT,1.42
1972,WA,1.25
1972,WI,1.15
1972,WV,1.02
1972,WY,0.82
1973,AK,1.11
1973,AL,1.11
1973,AR,1.21
1973,AZ,1.07
1973,CA,1.41
1973,CO,1.22
1973,CT,1.4
1973,DC,0.99
1973,DE,1.12
1973,FL,1.32
1973,GA,1.24
1973,HI,1.02
1973,IA,1.36
1973,ID,1.07
1973,IL,1.28
1973,IN,1.28
1973,KS,1.18
1973,KY,1.35
1973,LA,1.06
1973,MA,1.46
1973,MD,1.23
1973,ME,1.25
1973,MI,1.31
1973,MN,1.3
1973,MO,1.31
1973,MS,1.04
1973,MT,1.06
1973,NC,1.37
1973,ND,1.15
1973,NE,1.19
1973,NH,1.45
1973,NJ,1.45
1973,NM,1.0
1973,NV,1.07
1973,NY,1.42
1973,OH,1.3
1973,OK,0.91
1973,OR,1.27
1973,PA,1.33
1973,RI,1.46
1973,SC,1.37
1973,SD,1.19
1973,TN,1.19
1973,TX,1.14
1973,US,1.35
1973,UT,0.94
1973,VA,1.28
1973,VT,1.42
1973,WA,1.35
1973,WI,1.41
1973,WV,1.02
1973,WY,0.98
1974,AK,2.0
1974,AL,1.83
1974,AR,1.89
1974,AZ,1.76
1974,CA,2.26
1974,CO,1.94
1974,CT,2.36
1974,DC,1.97
1974,DE,2.0
1974,FL,2.18
1974,GA,1.8
1974,HI,1.83
1974,IA,2.29
1974,ID,2.1
1974,IL,2.21
1974,IN,2.27
1974,KS,1.92
1974,KY,2.06
1974,LA,1.73
1974,MA,2.38
1974,MD,2.1
1974,ME,2.07
1974,MI,2.23
1974,MN,2.06
1974,MO,2.26
1974,MS,1.62
1974,MT,1.79
1974,NC,2.16
1974,ND,2.01
1974,NE,1.79
1974,NH,2.29
1974,NJ,2.34
1974,NM,1.62
1974,NV,1.87
1974,NY,2.28
1974,OH,2.28
1974,OK,1.63
1974,OR,2.02
1974,PA,2.27
1974,RI,2.27
1974,SC,2.06
1974,SD,1.79
1974,TN,2.0
1974,TX,2.12
1974,US,2.2
1974,UT,1.82
1974,VA,2.03
1974,VT,2.26
1974,WA,1.69
1974,WI,2.31
1974,WV,1.99
1974,WY,1.71
1975,AK,2.2
1975,AL,2.08
1975,AR,2.18
1975,AZ,2.12
1975,CA,2.5
1975,CO,2.12
1975,CT,2.67
1975,DC,2.01
1975,DE,2.36
1975,FL,2.38
1975,GA,2.25
1975,HI,2.04
1975,IA,2.38
1975,ID,2.12
1975,IL,2.39
1975,IN,2.39
1975,KS,2.13
1975,KY,2.31
1975,LA,2.01
1975,MA,2.74
1975,MD,2.39
1975,ME,2.55
1975,MI,2.44
1975,MN,2.31
1975,MO,2.4
1975,MS,1.86
1975,MT,2.0
1975,NC,2.37
1975,ND,2.16
1975,NE,2.09
1975,NH,2.56
1975,NJ,2.61
1975,NM,1.84
1975,NV,2.0
